@RELATION data/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {pt_data,speechEmotion}

@DATA
0.065597,0.021597,3.131331,0.148139,0.189129,0.375812,0.008866,0.105705,-24.409822,2.506793,-0.012605,0.368655,-0.045252,0.020359,0.063860,0.011327,0.071091,-0.040433,-0.113330,0.050464,-0.018810,0.023765,0.003030,0.042433,0.012296,0.016584,0.004888,0.040097,0.001411,0.007938,0.024526,0.056874,0.004058,0.028851,0.070183,0.019485,0.160322,0.079259,0.037764,0.480311,0.006299,0.152021,0.779480,0.464319,0.329465,0.310361,0.236790,0.199032,0.182134,0.170846,0.160186,0.167480,0.169110,0.173506,0.193185,0.028152,0.003386,0.031789,0.012263,0.013162,0.005407,0.033232,0.001874,0.011532,0.019930,0.043106,0.005245,0.010414,pt_data
0.083897,0.061707,3.056314,0.158375,0.182062,0.449403,0.010128,0.115967,-23.840786,2.727006,0.022225,-0.007036,-0.027779,-0.023951,0.070304,0.097862,0.032238,0.041374,-0.124931,0.047525,-0.128818,0.036378,0.003590,0.046352,0.009591,0.012729,0.008257,0.021361,0.001329,0.003162,0.022435,0.048459,0.013982,0.029096,0.097558,0.057088,0.283129,0.089495,0.029023,0.576840,0.006845,0.160290,1.412414,0.442755,0.417347,0.413804,0.274750,0.237392,0.209413,0.196807,0.184336,0.195100,0.190060,0.211129,0.267494,0.037174,0.005565,0.038810,0.010919,0.011095,0.011090,0.019989,0.001743,0.003513,0.024219,0.039155,0.019742,0.012077,pt_data
0.045150,0.037289,3.066670,0.121927,0.174295,0.301601,0.008651,0.062554,-24.319606,2.878746,0.052218,0.193186,-0.230514,0.148744,0.147787,0.286916,0.087315,0.056982,-0.102374,0.090205,0.132268,0.032636,0.004920,0.109744,0.012847,0.019384,0.005768,0.030988,0.001365,0.009373,0.006776,0.018886,0.009481,0.034210,0.041752,0.035589,0.181730,0.055949,0.033179,0.409347,0.005003,0.079148,1.019372,0.450537,0.396893,0.268674,0.322009,0.229708,0.249441,0.171053,0.198588,0.166499,0.170925,0.154301,0.162955,0.026623,0.006370,0.049362,0.011533,0.013980,0.006934,0.020331,0.002255,0.011103,0.005978,0.017586,0.012632,0.010805,pt_data
0.032364,0.063250,3.021814,0.110304,0.171805,0.206855,0.012152,0.041684,-23.812665,2.500063,0.233052,0.233779,-0.166614,0.049026,-0.008662,0.155197,0.136887,0.153414,0.024879,0.174086,0.082234,0.006454,0.002849,0.071630,0.014606,0.036976,0.006239,0.092948,0.000970,0.004968,0.021070,0.015368,0.002912,0.040129,0.026083,0.049694,0.186337,0.042239,0.032726,0.237730,0.008857,0.050481,1.094859,0.382303,0.469907,0.305897,0.321518,0.210909,0.281506,0.182700,0.184650,0.170979,0.182511,0.158687,0.158127,0.006802,0.003431,0.047202,0.014752,0.027057,0.008273,0.066296,0.001294,0.006549,0.023688,0.012637,0.003085,0.016507,pt_data
0.053038,0.030081,3.067500,0.125636,0.170548,0.450082,0.007418,0.076771,-23.794404,2.220141,0.277498,0.278359,-0.056207,0.088674,0.072889,0.093967,0.034588,-0.012585,-0.101326,0.064157,0.040521,0.013212,0.004351,0.067780,0.022399,0.035800,0.007519,0.044175,0.001459,0.004875,0.018923,0.020420,0.004903,0.027807,0.042140,0.028473,0.184926,0.052025,0.031924,0.471722,0.004039,0.073619,1.098802,0.492105,0.452105,0.299246,0.335516,0.242125,0.248930,0.195331,0.227302,0.170304,0.181858,0.179737,0.161856,0.015050,0.004488,0.040203,0.021597,0.031174,0.007753,0.031379,0.001513,0.006370,0.017234,0.015269,0.005215,0.009940,pt_data
0.038782,0.032782,3.049197,0.113786,0.174167,0.215060,0.010598,0.051617,-24.232790,2.442449,-0.015797,0.170912,-0.131682,0.140033,0.108661,0.273287,0.041707,0.125650,-0.038399,0.086655,0.190752,0.007873,0.007643,0.068883,0.011160,0.044301,0.006750,0.083739,0.001191,0.006173,0.009223,0.010530,0.002673,0.036017,0.032454,0.029759,0.160188,0.041270,0.026111,0.243657,0.007649,0.071603,0.998220,0.315240,0.352928,0.342308,0.281019,0.210296,0.209413,0.170551,0.169877,0.164249,0.153311,0.149020,0.149743,0.008531,0.012293,0.040474,0.012163,0.030117,0.007991,0.064801,0.001377,0.008270,0.009599,0.008097,0.002816,0.014626,pt_data
0.035240,0.026995,3.095552,0.109163,0.169171,0.236833,0.009175,0.047908,-24.473072,2.798984,-0.006079,0.263059,0.006882,0.084872,0.025664,0.186684,-0.049174,0.034497,-0.151638,0.225721,0.162648,0.010864,0.003694,0.101906,0.025904,0.030989,0.013136,0.039662,0.001097,0.010162,0.009508,0.015955,0.003419,0.035321,0.027057,0.027955,0.165990,0.042897,0.032357,0.285677,0.005922,0.049380,1.065743,0.427333,0.409979,0.299561,0.240190,0.215235,0.256277,0.168595,0.208501,0.159124,0.162378,0.168190,0.152939,0.009601,0.004568,0.050283,0.031325,0.024969,0.020115,0.030376,0.001238,0.013502,0.009459,0.012584,0.004545,0.010669,pt_data
0.148728,0.009590,2.829616,0.244760,0.207970,1.087682,0.013388,0.257583,-29.191642,1.721814,0.158819,-0.174011,-0.401843,-0.243148,-0.244002,0.303356,-0.189046,-0.016690,-0.181592,0.051951,-0.254507,0.011786,0.005865,0.027845,0.015336,0.020842,0.020645,0.015623,0.003152,0.005543,0.015108,0.042083,0.008760,0.024431,0.117841,0.013991,0.315625,0.091568,0.026803,0.450020,0.006361,0.173837,2.113692,0.763647,0.643744,0.380514,0.309157,0.278331,0.356160,0.238174,0.311460,0.260470,0.314954,0.230506,0.285349,0.015766,0.005127,0.011243,0.022534,0.029825,0.027156,0.023141,0.007130,0.005816,0.011093,0.011513,0.006991,0.011801,speechEmotion
0.133761,0.015379,2.606147,0.247693,0.198779,1.265465,0.014554,0.281931,-27.783804,1.190951,0.123093,-0.416921,0.046881,-0.534226,-0.132689,0.185135,-0.090196,0.028523,-0.099111,-0.079832,-0.213048,0.019072,0.006186,0.019339,0.009034,0.007972,0.017097,0.034915,0.009421,0.006535,0.009402,0.023117,0.014407,0.022729,0.068694,0.015359,0.747161,0.082390,0.045685,0.533365,0.008789,0.182870,4.757176,1.165789,0.989887,0.759970,0.606625,0.416420,0.440273,0.272626,0.257879,0.217530,0.217956,0.315554,0.253501,0.022371,0.007113,0.019053,0.010224,0.011149,0.035497,0.054542,0.016460,0.006695,0.011701,0.027709,0.024176,0.014929,speechEmotion
0.131818,0.016164,2.870092,0.252009,0.209824,1.165183,0.014601,0.249597,-27.191953,1.283119,-0.402136,-0.388779,-0.053440,-0.273318,0.196680,-0.027190,-0.142220,-0.045819,-0.266652,-0.111416,-0.190982,0.018480,0.006452,0.024803,0.015433,0.014008,0.005286,0.021540,0.007554,0.006061,0.013095,0.020327,0.006565,0.018568,0.093845,0.024114,0.478443,0.089819,0.031045,0.623286,0.008775,0.180022,3.679976,1.192795,1.128304,0.785937,0.470620,0.327914,0.382258,0.296737,0.303964,0.343320,0.306522,0.335042,0.305480,0.026206,0.008230,0.024711,0.016714,0.020098,0.005937,0.032940,0.010221,0.007116,0.022038,0.027943,0.010146,0.012368,speechEmotion
